earth , jupiter 
1.384404 0.767670 -0.002933 , 4.920211 0.156961 -0.110723 
1.386581 0.801233 -0.003236 , 4.918842 0.183401 -0.110802 
1.387880 0.834106 -0.003544 , 4.917336 0.209835 -0.110878 
1.388337 0.866286 -0.003857 , 4.915694 0.236264 -0.110951 
1.387987 0.897767 -0.004173 , 4.913916 0.262686 -0.111021 
1.386860 0.928547 -0.004494 , 4.912001 0.289101 -0.111088 
1.384985 0.958621 -0.004819 , 4.909951 0.315508 -0.111151 
1.382392 0.987986 -0.005148 , 4.907764 0.341907 -0.111212 
1.379105 1.016640 -0.005481 , 4.905440 0.368295 -0.111269 
1.375151 1.044579 -0.005817 , 4.902981 0.394674 -0.111324 
1.370552 1.071802 -0.006156 , 4.900386 0.421041 -0.111375 
1.365331 1.098307 -0.006499 , 4.897654 0.447397 -0.111423 
1.359509 1.124091 -0.006845 , 4.894786 0.473741 -0.111468 
1.353105 1.149153 -0.007193 , 4.891783 0.500071 -0.111510 
1.346139 1.173490 -0.007545 , 4.888643 0.526388 -0.111549 
1.338628 1.197101 -0.007899 , 4.885368 0.552689 -0.111585 
1.330588 1.219984 -0.008255 , 4.881957 0.578976 -0.111618 
1.322037 1.242137 -0.008614 , 4.878410 0.605246 -0.111647 
1.312988 1.263558 -0.008974 , 4.874727 0.631499 -0.111674 
1.303457 1.284245 -0.009337 , 4.870909 0.657735 -0.111697 
1.293456 1.304196 -0.009701 , 4.866955 0.683953 -0.111717 
1.282999 1.323410 -0.010066 , 4.862866 0.710152 -0.111735 
1.272097 1.341883 -0.010433 , 4.858641 0.736330 -0.111749 
1.260763 1.359613 -0.010801 , 4.854281 0.762489 -0.111760 
1.249006 1.376598 -0.011170 , 4.849786 0.788626 -0.111768 
1.236838 1.392834 -0.011540 , 4.845156 0.814741 -0.111772 
1.224268 1.408320 -0.011910 , 4.840390 0.840833 -0.111774 
1.211304 1.423051 -0.012280 , 4.835490 0.866902 -0.111772 
1.197957 1.437024 -0.012651 , 4.830456 0.892947 -0.111768 
1.184233 1.450236 -0.013021 , 4.825286 0.918967 -0.111760 
1.170140 1.462683 -0.013391 , 4.819982 0.944961 -0.111749 
1.155686 1.474360 -0.013760 , 4.814544 0.970929 -0.111735 
1.140878 1.485263 -0.014129 , 4.808971 0.996870 -0.111718 
1.125721 1.495386 -0.014496 , 4.803264 1.022783 -0.111698 
1.110222 1.504725 -0.014862 , 4.797423 1.048668 -0.111675 
1.094385 1.513274 -0.015226 , 4.791449 1.074523 -0.111648 
1.078217 1.521027 -0.015588 , 4.785340 1.100348 -0.111619 
1.061721 1.527977 -0.015949 , 4.779098 1.126143 -0.111586 
1.044902 1.534117 -0.016306 , 4.772723 1.151906 -0.111550 
1.027764 1.539440 -0.016661 , 4.766215 1.177637 -0.111511 
1.010311 1.543937 -0.017013 , 4.759573 1.203335 -0.111469 
0.992545 1.547601 -0.017362 , 4.752798 1.229000 -0.111424 
0.974470 1.550421 -0.017706 , 4.745891 1.254630 -0.111376 
0.956087 1.552388 -0.018047 , 4.738851 1.280225 -0.111325 
0.937399 1.553491 -0.018383 , 4.731679 1.305784 -0.111270 
0.918408 1.553719 -0.018714 , 4.724375 1.331307 -0.111213 
0.899115 1.553059 -0.019039 , 4.716938 1.356793 -0.111152 
0.879521 1.551498 -0.019359 , 4.709370 1.382241 -0.111088 
0.859627 1.549022 -0.019673 , 4.701670 1.407650 -0.111021 
0.839432 1.545616 -0.019980 , 4.693839 1.433020 -0.110951 
0.818938 1.541264 -0.020280 , 4.685876 1.458349 -0.110878 
0.798143 1.535947 -0.020573 , 4.677783 1.483638 -0.110802 
0.777047 1.529647 -0.020856 , 4.669559 1.508886 -0.110723 
0.755649 1.522343 -0.021131 , 4.661204 1.534091 -0.110641 
0.733947 1.514013 -0.021397 , 4.652719 1.559254 -0.110555 
0.711939 1.504633 -0.021652 , 4.644103 1.584372 -0.110466 
0.689622 1.494178 -0.021896 , 4.635358 1.609447 -0.110375 
0.666995 1.482619 -0.022129 , 4.626484 1.634476 -0.110280 
0.644053 1.469926 -0.022349 , 4.617479 1.659460 -0.110182 
0.620794 1.456066 -0.022555 , 4.608346 1.684397 -0.110081 
0.597213 1.441001 -0.022747 , 4.599084 1.709288 -0.109977 
0.573306 1.424694 -0.022923 , 4.589693 1.734130 -0.109870 
0.549068 1.407099 -0.023083 , 4.580174 1.758924 -0.109760 
0.524494 1.388171 -0.023225 , 4.570526 1.783669 -0.109647 
0.499577 1.367855 -0.023347 , 4.560751 1.808364 -0.109531 
0.474313 1.346095 -0.023448 , 4.550848 1.833008 -0.109411 
0.448693 1.322824 -0.023526 , 4.540818 1.857601 -0.109289 
0.422712 1.297973 -0.023579 , 4.530660 1.882142 -0.109164 
0.396362 1.271459 -0.023606 , 4.520376 1.906630 -0.109035 
0.369635 1.243192 -0.023603 , 4.509966 1.931065 -0.108904 
